,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
376,Wolf Hollow II,59812_G_CGT5,59812,G,CGT5,91203.0,Combined Cycle,,ERC_REST,Texas,48.0,Hood,221.0,48221.0,307.2,6250.0,2017.0,9999.0,,,N,Natural Gas,,,,,SCR,,,,,,,,,0.00773,0.00773,0.00773,0.00773,,,,,,,,,,,,Natural Gas,59812.0,32.337679,-97.734612,,,,,,,,3.6509190329230177,117.0,POINT (-97.734612 32.337679),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,4.0,97.6896,31361.991996442863,122.88,0.0,13170.0,3.5999999999999996,26.418243955768858,1,0.0,1,1,0,False,False,False,59812+CGT5,,,,,,,,,,,,
377,Wolf Hollow II,59812_G_STG6,59812,G,STG6,,Combined Cycle,,ERC_REST,Texas,48.0,Hood,221.0,48221.0,454.9,6250.0,2017.0,9999.0,,,N,Natural Gas,,,,,SCR,,,,,,,,,0.00773,0.00773,0.00773,0.00773,,,,,,,,,,,,Natural Gas,59812.0,32.337679,-97.734612,,,,,,,,3.6509190329230177,117.0,POINT (-97.734612 32.337679),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,4.0,144.6582,46440.65807025345,181.96,0.0,13170.0,3.5999999999999996,26.418243955768858,1,0.0,1,1,0,False,False,False,59812+STG6,,,,,,,,,,,,
383,Comanche Peak,6145_G_1,6145,G,1,,Nuclear,,ERC_REST,Texas,48.0,Somervell,425.0,48425.0,1205.0,10456.0,1990.0,2070.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6145.0,32.298365,-97.785515,,,,,,,,0.6559195578450814,0.0,POINT (-97.785515 32.298365),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,20.0,96.4,615091.1516229435,1084.5,0.0,93280.0,2.14,8.99829489682817,0,0.0,1,1,0,False,False,False,6145+1,,,,,,,,,,,,
384,Comanche Peak,6145_G_2,6145,G,2,,Nuclear,,ERC_REST,Texas,48.0,Somervell,425.0,48425.0,1195.0,10456.0,1993.0,2073.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6145.0,32.298365,-97.785515,,,,,,,,0.6559195578450814,0.0,POINT (-97.785515 32.298365),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,20.0,95.60000000000001,609986.6607381058,1075.5,0.0,93280.0,2.14,8.99829489682817,0,0.0,1,1,0,False,False,False,6145+2,,,,,,,,,,,,
385,Martin Lake,6146_B_1,6146,B,1,2804.0,Coal Steam,,ERC_REST,Texas,48.0,Rusk,401.0,48401.0,800.0,11234.0,1977.0,9999.0,tangential,dry,N,"Lignite, Subbituminous",Wet Scrubber,1977.0,0.95,LNC2,,,,ESPC,Yes,ACI,2009.0,,1.2,0.14908,0.14908,0.139,0.139,0.1,0.1,0.1,0.99,,,,,,,,Lignite,6146.0,32.2606,-94.5706,,,,,,,,1.751942379046926,215.4,POINT (-94.5706 32.2606),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,12.0,143.2,81671.85415740329,320.0,0.0,37800.0,4.47,24.151320686213165,1,0.0,1,1,0,True,2040,False,6146+1,,,,,,,,,,,,
386,Martin Lake,6146_B_2,6146,B,2,2805.0,Coal Steam,,ERC_REST,Texas,48.0,Rusk,401.0,48401.0,805.0,11196.0,1978.0,9999.0,tangential,dry,N,"Lignite, Subbituminous",Wet Scrubber,1978.0,0.95,LNC2,,,,ESPC,Yes,ACI,2009.0,,1.2,0.15535,0.15535,0.139,0.139,0.1,0.1,0.1,0.99,,,,,,,,Lignite,6146.0,32.2606,-94.5706,,,,,,,,1.751942379046926,215.4,POINT (-94.5706 32.2606),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,12.0,144.095,82182.30324588706,322.0,0.0,37800.0,4.47,24.08474687580938,1,0.0,1,1,0,True,2040,False,6146+2,,,,,,,,,,,,
387,Martin Lake,6146_B_3,6146,B,3,2806.0,Coal Steam,,ERC_REST,Texas,48.0,Rusk,401.0,48401.0,805.0,11194.0,1979.0,9999.0,tangential,dry,N,"Lignite, Subbituminous",Wet Scrubber,1979.0,0.95,LNC2,,,,ESPC,Yes,ACI,2008.0,,1.2,0.14956,0.14956,0.139,0.139,0.1,0.1,0.1,0.99,,,,,,,,Lignite,6146.0,32.2606,-94.5706,,,,,,,,1.751942379046926,215.4,POINT (-94.5706 32.2606),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,12.0,144.095,82182.30324588706,322.0,0.0,37800.0,4.47,24.081242991051287,1,0.0,1,1,0,True,2040,False,6146+3,,,,,,,,,,,,
388,Oak Grove (TX),6180_B_1,6180,B,1,2830.0,Coal Steam,,ERC_REST,Texas,48.0,Robertson,395.0,48395.0,840.0,10479.0,2010.0,9999.0,tangential,dry,N,Lignite,Wet Scrubber,2009.0,0.98,LNC2 + NH3,SCR,2009.0,,B,,ACI,2010.0,,0.192,0.07184,0.07184,0.07184,0.07184,0.1,0.1,0.1,0.99,,,,,,,,Lignite,6180.0,31.1803,-96.4866,,,,,,,,1.751942379046926,215.4,POINT (-96.4866 31.1803),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,12.0,150.35999999999999,85755.44686527345,336.0,0.0,37800.0,4.47,22.828604190032735,1,0.0,1,1,0,True,2040,False,6180+1,,,,,,,,,,,,
389,Oak Grove (TX),6180_B_2,6180,B,2,2831.0,Coal Steam,,ERC_REST,Texas,48.0,Robertson,395.0,48395.0,825.0,10484.0,2011.0,9999.0,wall,dry,N,Lignite,Wet Scrubber,2010.0,0.98,LNB + NH3 + OFA,SCR,2010.0,,B,,ACI,2011.0,,0.192,0.07299,0.07299,0.07299,0.07299,0.1,0.1,0.1,0.99,,,,,,,,Lignite,6180.0,31.1803,-96.4866,,,,,,,,1.751942379046926,215.4,POINT (-96.4866 31.1803),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,12.0,147.67499999999998,84224.09959982215,330.0,0.0,37800.0,4.47,22.837363901927972,1,0.0,1,1,0,True,2040,False,6180+2,,,,,,,,,,,,
390,Major Oak Power,7030_B_U1,7030,B,U1,2920.0,Coal Steam,,ERC_REST,Texas,48.0,Robertson,395.0,48395.0,152.0,11652.0,1990.0,9999.0,FBC,wet,N,"Lignite, Subbituminous",Reagent Injection,1990.0,0.78,ROFA,SNCR,,2007.0,B,,ACI,2011.0,,0.58,0.15553,0.07782,0.15553,0.07782,0.1,0.1,0.1,0.95,Yes,1990.0,,,,,,Lignite,7030.0,31.091925,-96.69503,,,,,,,,1.751942379046926,215.4,POINT (-96.69503 31.091925),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,12.0,27.208,15517.652289906624,60.800000000000004,0.0,37800.0,4.47,24.88363260065478,1,0.0,1,1,0,True,2040,False,7030+U1,,,,,,,,,,,,
