,PlantType,DataSource,ATBTechnologyType,FuelType,ThermalOrRenewableOrStorage,Capacity (MW),Heat Rate (Btu/kWh),CAPEX(2012$/MW),FOM(2012$/MW/yr),VOM(2012$/MWh),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),CO2EmRate(lb/MMBtu),Lifetime(years),FuelPrice($/MMBtu),SO2 Scrubber,CoalType,Efficiency,Nameplate Energy Capacity (MWh),Minimum Energy Capacity (MWh),Maximum Charge Rate (MW),ECAPEX(2012$/MWH),PlantCategory,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,region,Latitude,Longitude,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,GAMS Symbol
66,solarlat30.0lon-104.375,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,30.0,-104.375,POINT (-104.375 30),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat30.0lon-104.375p61
67,solarlat30.0lon-101.875,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,30.0,-101.875,POINT (-101.875 30),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat30.0lon-101.875p61
68,solarlat30.5lon-103.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,30.5,-103.75,POINT (-103.75 30.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat30.5lon-103.75p61
69,solarlat30.5lon-101.25,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,30.5,-101.25,POINT (-101.25 30.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat30.5lon-101.25p61
70,solarlat31.0lon-103.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,31.0,-103.75,POINT (-103.75 31),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat31.0lon-103.75p61
71,solarlat31.0lon-101.25,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,31.0,-101.25,POINT (-101.25 31),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat31.0lon-101.25p61
72,solarlat31.5lon-104.375,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,31.5,-104.375,POINT (-104.375 31.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat31.5lon-104.375p61
73,solarlat31.5lon-99.375,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,31.5,-99.375,POINT (-99.375 31.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat31.5lon-99.375p61
74,solarlat32.0lon-100.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,32.0,-100.625,POINT (-100.625 32),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat32.0lon-100.625p61
75,solarlat32.5lon-99.375,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,32.5,-99.375,POINT (-99.375 32.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat32.5lon-99.375p61
76,windlat29.5lon-98.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p64,29.5,-98.125,POINT (-98.125 29.5),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,windlat29.5lon-98.125p64
77,windlat30.0lon-99.375,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p64,30.0,-99.375,POINT (-99.375 30),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,windlat30.0lon-99.375p64
78,windlat30.0lon-96.875,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p64,30.0,-96.875,POINT (-96.875 30),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,windlat30.0lon-96.875p64
79,windlat30.5lon-98.75,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p64,30.5,-98.75,POINT (-98.75 30.5),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,windlat30.5lon-98.75p64
80,windlat30.5lon-96.25,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p64,30.5,-96.25,POINT (-96.25 30.5),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,windlat30.5lon-96.25p64
81,solarlat29.5lon-98.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p64,29.5,-98.125,POINT (-98.125 29.5),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,solarlat29.5lon-98.125p64
82,solarlat30.0lon-99.375,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p64,30.0,-99.375,POINT (-99.375 30),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,solarlat30.0lon-99.375p64
83,solarlat30.0lon-96.875,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p64,30.0,-96.875,POINT (-96.875 30),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,solarlat30.0lon-96.875p64
84,solarlat30.5lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p64,30.5,-98.75,POINT (-98.75 30.5),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,solarlat30.5lon-98.75p64
85,solarlat30.5lon-96.25,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p64,30.5,-96.25,POINT (-96.25 30.5),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,solarlat30.5lon-96.25p64
86,windlat31.0lon-98.75,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,31.0,-98.75,POINT (-98.75 31),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat31.0lon-98.75p63
87,windlat31.0lon-96.25,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,31.0,-96.25,POINT (-96.25 31),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat31.0lon-96.25p63
88,windlat31.5lon-96.875,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,31.5,-96.875,POINT (-96.875 31.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat31.5lon-96.875p63
89,windlat32.0lon-98.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,32.0,-98.125,POINT (-98.125 32),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat32.0lon-98.125p63
90,windlat32.0lon-95.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,32.0,-95.625,POINT (-95.625 32),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat32.0lon-95.625p63
91,windlat32.5lon-96.875,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,32.5,-96.875,POINT (-96.875 32.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat32.5lon-96.875p63
92,windlat33.0lon-98.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,33.0,-98.125,POINT (-98.125 33),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat33.0lon-98.125p63
93,windlat33.0lon-95.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,33.0,-95.625,POINT (-95.625 33),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat33.0lon-95.625p63
94,windlat33.5lon-96.25,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,33.5,-96.25,POINT (-96.25 33.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat33.5lon-96.25p63
95,solarlat31.0lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,31.0,-98.75,POINT (-98.75 31),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat31.0lon-98.75p63
96,solarlat31.0lon-96.25,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,31.0,-96.25,POINT (-96.25 31),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat31.0lon-96.25p63
97,solarlat31.5lon-96.875,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,31.5,-96.875,POINT (-96.875 31.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat31.5lon-96.875p63
98,solarlat32.0lon-98.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,32.0,-98.125,POINT (-98.125 32),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat32.0lon-98.125p63
99,solarlat32.0lon-95.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,32.0,-95.625,POINT (-95.625 32),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat32.0lon-95.625p63
100,solarlat32.5lon-96.875,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,32.5,-96.875,POINT (-96.875 32.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat32.5lon-96.875p63
101,solarlat33.0lon-98.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,33.0,-98.125,POINT (-98.125 33),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat33.0lon-98.125p63
102,solarlat33.0lon-95.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,33.0,-95.625,POINT (-95.625 33),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat33.0lon-95.625p63
103,solarlat33.5lon-95.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,33.5,-95.625,POINT (-95.625 33.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat33.5lon-95.625p63
104,windlat31.5lon-101.875,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p62,31.5,-101.875,POINT (-101.875 31.5),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,windlat31.5lon-101.875p62
105,windlat32.0lon-103.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p62,32.0,-103.125,POINT (-103.125 32),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,windlat32.0lon-103.125p62
106,windlat32.5lon-101.875,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p62,32.5,-101.875,POINT (-101.875 32.5),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,windlat32.5lon-101.875p62
107,solarlat31.5lon-101.875,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p62,31.5,-101.875,POINT (-101.875 31.5),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,solarlat31.5lon-101.875p62
108,solarlat32.0lon-103.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p62,32.0,-103.125,POINT (-103.125 32),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,solarlat32.0lon-103.125p62
109,solarlat32.5lon-101.875,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p62,32.5,-101.875,POINT (-101.875 32.5),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,solarlat32.5lon-101.875p62
110,windlat33.0lon-100.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p60,33.0,-100.625,POINT (-100.625 33),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,windlat33.0lon-100.625p60
111,windlat33.5lon-99.375,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p60,33.5,-99.375,POINT (-99.375 33.5),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,windlat33.5lon-99.375p60
112,windlat34.0lon-99.375,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p60,34.0,-99.375,POINT (-99.375 34),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,windlat34.0lon-99.375p60
113,windlat34.5lon-101.25,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p60,34.5,-101.25,POINT (-101.25 34.5),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,windlat34.5lon-101.25p60
114,solarlat33.0lon-100.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p60,33.0,-100.625,POINT (-100.625 33),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,solarlat33.0lon-100.625p60
115,solarlat33.5lon-99.375,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p60,33.5,-99.375,POINT (-99.375 33.5),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,solarlat33.5lon-99.375p60
