,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
24,South Plains II,60087_G_SPII,60087,G,SPII,,Onshore Wind,,ERC_PHDL,Texas,48.0,Floyd,153.0,48153.0,300.0,0.0,2016.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,60087.0,34.196962,-101.381494,,,,,,,,0.0,0.0,POINT (-101.381494 34.196962),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,300.0,30.626945309026233,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,60087+SPII,,,,,,,,,,,,
25,Cotton Plains Wind Farm,60210_G_CPWF,60210,G,CPWF,,Onshore Wind,,ERC_PHDL,Texas,48.0,Floyd,153.0,48153.0,50.4,0.0,2017.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,60210.0,34.060333,-101.187628,,,,,,,,0.0,0.0,POINT (-101.187628 34.060333),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,50.4,5.145326811916407,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,60210+CPWF,,,,,,,,,,,,
26,Old Settler Wind,60366_G_OSWF,60366,G,OSWF,,Onshore Wind,,ERC_PHDL,Texas,48.0,Floyd,153.0,48153.0,151.2,0.0,2017.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,60366.0,34.060333,-101.187628,,,,,,,,0.0,0.0,POINT (-101.187628 34.060333),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,151.2,15.43598043574922,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,60366+OSWF,,,,,,,,,,,,
27,Bethel Wind Farm LLC,60414_G_GEN1,60414,G,GEN1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Castro,69.0,48069.0,276.0,0.0,2017.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,60414.0,34.575311,-102.474698,,,,,,,,0.0,0.0,POINT (-102.474698 34.575311),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,276.0,28.176789684304136,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,60414+GEN1,,,,,,,,,,,,
28,Astra Wind Farm,60856_G_ASTRA,60856,G,ASTRA,,Onshore Wind,,ERC_PHDL,Texas,48.0,Randall,381.0,48381.0,163.0,0.0,2017.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,60856.0,34.769544,-102.052422,,,,,,,,0.0,0.0,POINT (-102.052422 34.769544),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,163.0,16.64064028457092,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,60856+ASTRA,,,,,,,,,,,,
29,Seadrift Coke LP,10167_G_GEN1,10167,G,GEN1,,Coal Steam,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,7.6,10428.0,1983.0,9999.0,,,Y,Petroleum Coke,,,,,,,,,,,,,0.79,0.76996,0.76996,0.76996,0.76996,1.0,1.0,1.0,0.98,,,,,,,,Petroleum Coke,10167.0,28.513929,-96.794154,,,,,,,,1.7494556002769337,225.1,POINT (-96.79415400000001 28.513929),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,6.0,2.6599999999999997,775.8826144953313,3.04,0.0,37800.0,4.47,22.713322999687865,1,0.0,1,1,0,True,2040,False,10167+GEN1,,,,,,,,,,,,
30,Formosa Utility Venture Ltd,10554_G_BO3,10554,G,BO3,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,32.0,6487.0,1987.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.11484,0.11484,0.11484,0.11484,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,,3.419101677638398,117.0,POINT (-96.54170000000001 28.6917),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,20.448,3266.8741662961315,12.8,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+BO3,,,,,,,,,,,,
31,Formosa Utility Venture Ltd,10554_G_ST1,10554,G,ST1,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,28.5,6487.0,1994.0,9999.0,,,Y,Natural Gas,,,,STM,,,,,,,,,,0.11484,0.11484,0.11484,0.11484,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,,3.419101677638398,117.0,POINT (-96.54170000000001 28.6917),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,18.2115,2909.5598043574923,11.4,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+ST1,,,,,,,,,,,,
32,Formosa Utility Venture Ltd,10554_G_ST2,10554,G,ST2,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,57.5,6487.0,1994.0,9999.0,,,Y,Natural Gas,,,,STM,,,,,,,,,,0.0694,0.0694,0.0694,0.0694,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,,3.419101677638398,117.0,POINT (-96.54170000000001 28.6917),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,36.7425,5870.164517563361,23.0,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+ST2,,,,,,,,,,,,
33,Formosa Utility Venture Ltd,10554_G_ST3,10554,G,ST3,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,47.3,6487.0,2002.0,9999.0,,,Y,Natural Gas,,,,STM,,,,,,,,,,0.08253,0.08253,0.08253,0.08253,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,,3.419101677638398,117.0,POINT (-96.54170000000001 28.6917),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,30.2247,4828.84837705647,18.919999999999998,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+ST3,,,,,,,,,,,,
