GAMS Symbol,57197+1,58009+1,58009+2,58027+1,58068+1,58537+1,58716+1,59204+OCIA3,59205+OCIA5,60472+CPS1,57699+AES1,58013+PV,61205+PV1,60427+CSS1,60774+GEN1,59207+OCIA7,60372+LSPV1,60581+UCTX,58488+1,58710+BRLA,58717+1,59206+OCIA6,59994+ROSEK,60044+BKTH1,60436+1,60682+PEARL,60989+PV1
2040-06-13 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040-06-13 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040-06-13 06:00:00,0.9477672390639782,0.06642362996935844,0.05930681247264147,0.15016414979472756,0.15016414979472756,2.815679544955492,0.3089019149541855,0.38612739369273186,6.546501070261002,0.07020498067140579,2.12731696665287,0.08774976134300232,0.07460404001176357,0.04402970150113106,0.5534888342022896,2.7927853167057037,2.5530464947223663,4.570533894002438,0.3742675483226776,0.8392561074346304,1.8249100908637048,3.1993737258017063,4.376915129832923,5.874870698899031,3.6107217762619257,1.5235112980008125,1.4951949007809162
2040-06-13 07:00:00,2.4283223748207092,0.5242161452770233,0.46805012971162796,1.087640067189932,1.087640067189932,7.2172292008996015,0.7914532184600831,0.9893165230751038,16.22631996870041,0.17987573146820068,5.768687725067139,0.24441922754049303,0.17595870047807693,0.28814181685447693,2.250751656293869,13.252316415309906,10.538055747747421,13.08538243174553,1.2710775434970856,2.532652851939201,5.466197776794433,9.15976770222187,13.20837166160345,18.570236653089523,10.337452121078968,4.361794143915176,4.205821827054024
2040-06-13 08:00:00,4.484851151704788,1.2663944721221922,1.1307093501091003,2.68524409532547,2.68524409532547,13.143526673316957,1.4617292642593385,1.827161580324173,30.991283059120178,0.3322111964225769,10.265878736972809,0.4428530871868134,0.39255398511886597,0.5919225215911865,4.984684139490128,33.00569951534271,27.14177668094635,42.869362235069275,3.133874833583832,8.674911665916442,13.035584735870362,30.008553564548492,45.241675078868866,59.044079422950745,33.86679616570473,14.289787411689758,15.116606652736664
2040-06-13 09:00:00,5.891629278659821,1.8225181818008422,1.627248376607895,3.8772546619176866,3.8772546619176866,13.167888864874842,1.9202347278594971,2.4002934098243713,30.848047137260437,0.43641698360443115,13.207799792289734,0.5803562462329864,0.6278021782636642,0.749319314956665,7.08131936788559,43.89615058898926,36.67331337928772,70.51038444042206,4.587634801864624,13.98652411699295,18.788026142120362,49.35726910829544,72.94296517968178,94.3466015458107,55.703203707933426,23.503461480140686,23.518957197666168
2040-06-13 10:00:00,5.708800658583641,2.0577208280563353,1.8372507393360138,4.812388998270035,4.812388998270035,14.440420073270799,1.8606461405754091,2.325807675719261,23.349757492542267,0.4228741228580475,14.989935457706451,0.6826049625873566,0.7743349671363831,1.0619115829467773,8.90758513212204,52.03067064285278,47.29405343532562,86.71117722988129,4.579783380031586,17.53205783367157,22.340924406051638,60.6978240609169,91.43374532461166,113.9789559841156,68.50183001160622,28.903725743293762,28.850969672203064
2040-06-13 11:00:00,5.4778821766376495,2.5338737487792966,2.262387275695801,4.341326013207436,4.341326013207436,15.870885238051416,1.7853838205337527,2.2317297756671906,26.22361183166504,0.4057690501213074,16.098450422286987,0.7591695368289948,0.7948392927646637,1.1969190835952759,9.818736243247987,57.17775225639343,56.601738929748535,94.49356198310852,4.854026734828949,19.213742542266846,24.510179615020753,66.14549338817596,100.20412087440491,127.77477514743805,74.64991396665573,31.497853994369507,31.82429075241089
2040-06-13 12:00:00,5.456101164221764,3.1096335887908935,2.7764585614204407,4.757679471373558,4.757679471373558,16.882155746221542,1.7782848238945008,2.222856029868126,28.526106476783752,0.4041556417942047,16.171358227729797,0.7802709996700287,0.827365905046463,1.2510974407196045,9.759587860107422,63.980841636657715,59.40207242965698,94.33363974094391,5.546626448631287,19.07959305047989,24.955821990966797,66.03354781866074,99.50450018048286,128.82661366462708,74.52357539534569,31.444546580314636,31.613647937774658
2040-06-13 13:00:00,5.3081518560647964,3.3693658351898192,3.008362352848053,5.221703320741653,5.221703320741653,16.143709033727646,1.7300643086433412,2.1625803858041763,30.324718356132507,0.3931964337825775,15.237573981285095,0.7290240585803985,0.8115878999233246,1.1869162321090698,8.99584048986435,59.99605655670166,54.089635610580444,89.19675350189209,5.854769349098206,18.575034356117246,23.88637375831604,62.43772745132446,96.87310963869095,118.3618311882019,70.46543526649475,29.732251167297363,30.207514762878418
2040-06-13 14:00:00,3.7012778520584106,2.9984811782836913,2.677215337753296,5.222335302829743,5.222335302829743,12.706157106161118,1.20634241104126,1.5079280138015747,27.920597791671753,0.2741687297821045,12.420614361763,0.6301356017589569,0.7452279478311539,1.0417547225952148,7.701814711093903,41.0081148147583,43.760380148887634,80.54823875427246,5.19863486289978,16.325169622898102,20.57374670505524,56.38376712799072,85.13954356312752,99.29356926679611,63.633108615875244,26.84941291809082,27.506306767463684
2040-06-13 15:00:00,2.8642934560775757,2.5289664268493652,2.258005738258362,4.169151905179024,4.169151905179024,10.517605069279671,0.9335474967956544,1.1669343709945679,23.51061850786209,0.21216988563537598,10.015115439891815,0.4920119732618332,0.6116005182266235,0.8148735165596008,5.8952298879623415,25.210192799568176,29.888883233070374,66.62019789218903,4.1608938574790955,13.872309392690658,16.113007056713105,46.63413852453232,72.34730891883373,84.20494627952576,52.62995633482933,22.206732630729675,23.2590451836586
2040-06-13 16:00:00,1.9258117228746414,1.899015426635742,1.695549488067627,2.9822544336318972,2.9822544336318972,7.132130737602711,0.6276719689369202,0.7845899611711502,15.240615606307983,0.1426527202129364,6.818829774856567,0.3421800494194031,0.4202382266521454,0.5666465759277344,3.9507380366325378,23.733417689800262,18.450692296028137,49.80047643184662,3.0687662959098816,9.676168191432952,11.05450086593628,34.86033350229263,50.46345993876457,61.91276276111603,39.34237638115883,16.60015881061554,17.293724417686462
2040-06-13 17:00:00,1.0155205428600311,1.0202627539634703,0.9109488874673843,1.7026718616485597,1.7026718616485597,4.179353975504637,0.3309844732284546,0.41373059153556824,7.955478876829147,0.07522374391555786,4.072414040565491,0.18291673809289932,0.23378538340330124,0.31065163016319275,2.0357783824205398,15.243324637413025,11.606136709451675,30.915013700723648,1.8534955382347107,5.679712626338005,6.141519320011139,21.640509590506554,29.621017836034298,38.983071982860565,24.422860823571682,10.305004566907883,10.397116094827652
2040-06-13 18:00:00,0.2283027246594429,0.332090961933136,0.2965097874403,0.6004331041127443,0.6004331041127443,1.2846026834100486,0.07440977692604066,0.09301222115755081,1.9315050914883614,0.01691131293773651,1.342322789132595,0.06152605973184109,0.07432601228356361,0.10095571726560593,0.7403062045574188,6.51235431432724,6.808467209339142,12.72616982460022,0.7961731404066086,1.6383222691714763,1.995224837958813,8.908318877220154,8.544230377301574,16.201359018683434,10.053674161434174,4.242056608200073,3.7278149276971817
