,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol
286,Ray Olinger,3576_B_CE1,3576,B,CE1,2466.0,O/G Steam,,ERC_REST,Texas,48,Collin,85,48085,75.0,12882.0,1967.0,9999,tangential,,N,Natural Gas,,,,LNC2,,,,,,,,,0.006,0.04486,0.04486,0.04486,0.04486,,,,,,,,,,,,Natural Gas,3576.0,33.068055,-96.452481,,,,,,,2.381000415400321,117.0,POINT (-96.45248100000001 33.068055),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,17.325,7656.736327256558,30.0,0.0,37800.0,4.47,35.14204735118694,1,0.0,1,1,False,False,False,False,3576+CE1
287,Ray Olinger,3576_G_4,3576,G,4,2467.0,Combustion Turbine,,ERC_REST,Texas,48,Collin,85,48085,75.0,13568.0,2001.0,9999,,,N,Natural Gas,,,,DLNB,,,,,,,,,3.0,0.05812,0.05812,0.05812,0.05812,,,,,,,,,,,,Natural Gas,3576.0,33.068055,-96.452481,,,,,,,2.381000415400321,117.0,POINT (-96.45248100000001 33.068055),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,2.0,25.650000000000002,1914.1840818141395,30.0,0.0,7340.0,15.45,47.75541363615156,0,0.0,1,1,False,False,False,False,3576+4
288,R W Miller,3628_B_2,3628,B,2,2494.0,O/G Steam,,ERC_REST,Texas,48,Palo Pinto,363,48363,100.0,12090.0,1972.0,9999,wall,dry,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,1.157,0.26607,0.26607,0.26607,0.26607,,,,,,,,,,,,Natural Gas,3628.0,32.6581,-98.3103,,,,,,,2.381000415400321,117.0,POINT (-98.3103 32.6581),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,23.1,10208.98176967541,40.0,0.0,37800.0,4.47,33.25629502218988,1,0.0,1,1,False,False,False,False,3628+2
289,R W Miller,3628_B_3,3628,B,3,2495.0,O/G Steam,,ERC_REST,Texas,48,Palo Pinto,363,48363,200.0,12101.0,1975.0,9999,wall,dry,N,"Natural Gas, Distillate Fuel Oil",,,,CM,,,,,,,,,0.8,0.10904,0.10904,0.10904,0.10904,,,,,,,,,,,,Natural Gas,3628.0,32.6581,-98.3103,,,,,,,2.381000415400321,117.0,POINT (-98.3103 32.6581),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,46.2,20417.96353935082,80.0,0.0,37800.0,4.47,33.28248602675929,1,0.0,1,1,False,False,False,False,3628+3
290,R W Miller,3628_G_4,3628,G,4,2491.0,Combustion Turbine,,ERC_REST,Texas,48,Palo Pinto,363,48363,104.0,13862.0,1994.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,,,,,,,,,3.0,0.08854,0.08854,0.08854,0.08854,,,,,,,,,,,,Natural Gas,3628.0,32.6581,-98.3103,,,,,,,2.381000415400321,117.0,POINT (-98.3103 32.6581),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,2.0,35.568000000000005,2654.335260115607,41.6,0.0,7340.0,15.45,48.45542775827924,0,0.0,1,1,False,False,False,False,3628+4
291,R W Miller,3628_G_5,3628,G,5,2492.0,Combustion Turbine,,ERC_REST,Texas,48,Palo Pinto,363,48363,104.0,13862.0,1994.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,,,,,,,,,3.0,0.08005,0.08005,0.08005,0.08005,,,,,,,,,,,,Natural Gas,3628.0,32.6581,-98.3103,,,,,,,2.381000415400321,117.0,POINT (-98.3103 32.6581),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,2.0,35.568000000000005,2654.335260115607,41.6,0.0,7340.0,15.45,48.45542775827924,0,0.0,1,1,False,False,False,False,3628+5
292,Paris Energy Center,50109_G_GEN1,50109,G,GEN1,89668.0,Combined Cycle,,ERC_REST,Texas,48,Lamar,277,48277,78.0,8795.0,1989.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,STM,,,,,,,,,1.09,0.13693,0.13693,0.13693,0.13693,,,,,,,,,,,,Natural Gas,50109.0,33.6968,-95.5577,,,,,,,2.381000415400321,117.0,POINT (-95.5577 33.6968),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,4.0,49.842,7963.005780346821,31.200000000000003,0.0,13170.0,3.5999999999999996,24.540898653445822,1,0.0,1,1,False,False,False,False,50109+GEN1
293,Paris Energy Center,50109_G_GEN2,50109,G,GEN2,89669.0,Combined Cycle,,ERC_REST,Texas,48,Lamar,277,48277,80.0,8795.0,1989.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,STM,,,,,,,,,1.09,0.13693,0.13693,0.13693,0.13693,,,,,,,,,,,,Natural Gas,50109.0,33.6968,-95.5577,,,,,,,2.381000415400321,117.0,POINT (-95.5577 33.6968),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,4.0,51.120000000000005,8167.185415740329,32.0,0.0,13170.0,3.5999999999999996,24.540898653445822,1,0.0,1,1,False,False,False,False,50109+GEN2
294,Paris Energy Center,50109_G_GEN3,50109,G,GEN3,,Combined Cycle,,ERC_REST,Texas,48,Lamar,277,48277,78.0,8795.0,1989.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,LNB + STM,,,,,,,,,1.09,0.13693,0.13693,0.13693,0.13693,,,,,,,,,,,,Natural Gas,50109.0,33.6968,-95.5577,,,,,,,2.381000415400321,117.0,POINT (-95.5577 33.6968),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,4.0,49.842,7963.005780346821,31.200000000000003,0.0,13170.0,3.5999999999999996,24.540898653445822,1,0.0,1,1,False,False,False,False,50109+GEN3
295,Signal Hill Generating LLC,50127_G_GTA,50127,G,GTA,,Combined Cycle,,ERC_WEST,Texas,48,Wichita,485,48485,19.7,11461.0,1987.0,9999,,,N,Natural Gas,,,,,,,,,,,,,,0.09795,0.09795,0.09795,0.09795,,,,,,,,,,,,Natural Gas,50127.0,33.8625,-98.5894,,,,,,,2.381000415400321,117.0,POINT (-98.5894 33.8625),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,4.0,12.5883,2011.1694086260559,7.88,0.0,13170.0,3.5999999999999996,30.88864576090308,1,0.0,1,1,False,False,False,False,50127+GTA
